file,attribute_label,single_instruction,single_answer,multi_instruction,multi_answer
1055_WSI_ANG_XX.wav,angry,說話者在音頻中表達的是哪一種情緒？(a) 悲傷 (b) 憤怒 (c) 厭惡 (d) 恐懼,(b) 憤怒,下列哪一句最能符合其他人在表達與音頻中相同情緒時的狀態？(a) 我現在覺得非常感激和充滿喜悅。(b) 別再找藉口了，這完全是你的錯！(c) 我連看都不想看，讓人很不舒服。(d) 我覺得心情很低落，什麼都無法讓我振作。,(b) 別再找藉口了，這完全是你的錯！
1044_IEO_ANG_HI.wav,angry,說話者在音檔中表達的是什麼情緒？(a) 厭惡 (b) 生氣 (c) 恐懼 (d) 悲傷,(b) 生氣,下列哪一句最能準確反映和說話者有相同情緒的人會怎麼表達自己？(a) 這情況真的快讓我受不了！(b) 這讓我感到很噁心。(c) 我真的很害怕接下來會發生什麼。(d) 我實在太高興了，快要爆炸了！,(a) 這情況真的快讓我受不了！
1056_ITH_ANG_XX.wav,angry,根據提供的音訊片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 快樂 (b) 悲傷 (c) 恐懼 (d) 生氣,(d) 生氣,你認為下列哪一種情境最能符合講者在這段發言中所傳達的情緒？ (a) 一個人在被其他車輛超車後大聲吼叫。 (b) 贏得期待已久的獎項或獎品。 (c) 對房間裡的惡臭做出反應。 (d) 在空屋裡聽到突然巨響做出反應。,(a) 一個人在被其他車輛超車後大聲吼叫。
1073_IOM_ANG_XX.wav,angry,你能從這段音頻中辨認說話者的情緒嗎？(a)厭惡 (b)悲傷 (c)憤怒 (d)恐懼,(c)憤怒,你認為下列哪個情境最符合說話者在此段演講中傳達的情緒？(a)在機場道別 (b)夜晚獨自走在黑暗的小巷 (c)贏得期待已久的獎項或獎品 (d)爭執後用力關門,(d)爭執後用力關門
1044_TAI_ANG_XX.wav,angry,考慮一段提供的音頻片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 厭惡 (b) 快樂 (c) 悲傷 (d) 生氣,(d) 生氣,感受相同情緒的人最有可能說出哪一句話？(a) 這讓我覺得噁心想吐。 (b) 我真是太高興了快要爆炸！ (c) 我總覺得會發生壞事。 (d) 別再找藉口了，這完全是你的錯！,(d) 別再找藉口了，這完全是你的錯！
1087_IOM_ANG_XX.wav,angry,你能從這段音檔中辨識出說話者的情緒嗎？(a) 悲傷 (b) 生氣 (c) 厭惡 (d) 快樂,(b) 生氣,下列哪一句最符合與音檔中相同情緒狀態的其他人？(a) 太髒了！請盡快清理。 (b) 我太開心了，快要爆炸了！ (c) 我簡直不敢相信這會發生，我真的超生氣！ (d) 我就是無法停止想起那些不好的回憶。,(c) 我簡直不敢相信這會發生，我真的超生氣！
1008_IWW_ANG_XX.wav,angry,請根據可用的錄音，分析並判斷說話者所表達的情緒是什麼？(a) 憤怒 (b) 悲傷 (c) 快樂 (d) 恐懼,(a) 憤怒,感受相同情緒的人最有可能說出哪一句話？(a) 我真的很害怕接下來會發生什麼事。 (b) 我受夠了這些胡鬧。 (c) 我不知道該如何從這個失去中走出來。 (d) 我忍不住一直笑，感覺一切都很美好。,(b) 我受夠了這些胡鬧。
1066_DFA_ANG_XX.wav,angry,根據提供的音訊片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 悲傷 (b) 憤怒 (c) 害怕 (d) 厭惡,(b) 憤怒,下列哪一種情境最符合說話者在這段語音中所傳達的情緒？(a) 久別重逢擁抱親人 (b) 在機場說再見 (c) 在街上面對兇猛的狗 (d) 同事間激烈爭吵,(d) 同事間激烈爭吵
1085_DFA_ANG_XX.wav,angry,說話者在音檔中表達的是哪一種情緒？(a) 開心 (b) 傷心 (c) 厭惡 (d) 生氣,(d) 生氣,下列哪一種情境最符合這段語音中辨識出的情緒？(a) 一個人在黑暗中看恐怖電影。 (b) 觀看一場感人卻令人傷心的電影片段。 (c) 一個人在被別人超車後大聲喊叫。 (d) 贏得期待已久的獎項或獎品。,(c) 一個人在被別人超車後大聲喊叫。
1035_DFA_ANG_XX.wav,angry,考慮所提供的音訊片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 悲傷 (b) 厭惡 (c) 快樂 (d) 生氣,(d) 生氣,哪一種情境最符合語音中傳達的情緒？(a) 爭執後重重關門 (b) 皺眉拒絕一頓無味的餐點 (c) 夜晚獨自走在黑暗小巷 (d) 在機場道別,(a) 爭執後重重關門
1070_TSI_ANG_XX.wav,angry,在錄音中，說話者的感覺是什麼？(a) 生氣 (b) 傷心 (c) 開心 (d) 厭惡,(a) 生氣,下列哪一種臉部表情最符合音檔中的情緒？(a) 紧閉的嘴唇配上瞪大的雙眼 (b) 皺起的額頭和落寞的表情 (c) 移開視線並咬牙切齒的嘴巴 (d) 眼睛微笑，嘴巴張開大笑,(a) 緊閉的嘴唇配上瞪大的雙眼
1021_MTI_ANG_XX.wav,angry,說話者在音檔中的情緒語調是什麼？ (a) 悲傷 (b) 害怕 (c) 生氣 (d) 快樂,(c) 生氣,考慮到說話者的情緒，下列哪一句最能代表經歷相同情緒的其他人的感受？ (a) 這是我過得最美好的一天，我感覺自己無所不能！ (b) 我簡直不敢相信這一切正在發生，我太憤怒了！ (c) 這讓我感到胃裡一陣作嘔。 (d) 我真的很害怕接下來會發生什麼。,(b) 我簡直不敢相信這一切正在發生，我太憤怒了！
1053_MTI_ANG_XX.wav,angry,請根據現有的音頻錄音，分析並判斷說話者表達的是哪一種情緒？(a) 悲傷 (b) 害怕 (c) 生氣 (d) 快樂,(c) 生氣,下列哪一種臉部表情最符合錄音中的情緒？(a) 皺眉頭且神情落寞 (b) 揚起眉毛並帶著怒容 (c) 眼睛瞇起且鼻子皺起 (d) 臉上帶著笑容且臉頰上揚,(b) 揚起眉毛並帶著怒容
1080_MTI_ANG_XX.wav,angry,在錄音中，說話者的感覺是什麼？(a) 害怕 (b) 厭惡 (c) 憤怒 (d) 悲傷,(c) 憤怒,下列哪一個情境最符合這段談話中說話者所表達的情緒？(a) 晚上獨自走在黑暗的小巷中。 (b) 看到腐壞的食物後轉頭離開。 (c) 與人爭吵後用力關上門。 (d) 收到好消息後微笑。,(c) 與人爭吵後用力關上門。
1075_IWL_ANG_XX.wav,angry,你能從這段錄音中辨識講話者的情緒嗎？(a)快樂 (b)厭惡 (c)憤怒 (d)悲傷,(c)憤怒,下列哪一種臉部表情最符合音檔中的情緒？(a)眼神向下看，雙唇顫抖 (b)銳利的凝視並緊壓雙唇 (c)眼睛瞇起，鼻子皺起 (d)雙眼睜大，眉毛上揚，嘴唇微微分開。,(b)銳利的凝視並緊壓雙唇
1068_IWW_ANG_XX.wav,angry,你能從這段音訊中辨識出說話者的情緒嗎？(a) 傷心 (b) 噁心 (c) 害怕 (d) 生氣,(d) 生氣,根據說話者在音頻中表達的情緒，以下哪一種社交互動最適合作為回應？(a) 微笑並積極參與對話。 (b) 提供情感支持並避免忽視他們的悲傷。 (c) 給他們一些空間先冷靜下來再進一步互動。 (d) 保持冷靜並提供支持以緩解他們的焦慮。,(c) 給他們一些空間先冷靜下來再進一步互動。
1080_IOM_ANG_XX.wav,angry,使用所提供的音訊片段作為輸入，您會如何解讀或分類說話者的潛在情緒？(a) 悲傷 (b) 厭惡 (c) 害怕 (d) 生氣,(d) 生氣,下列哪一種情境最符合講話內容所傳達的情緒？(a) 爭執後用力摔門。(b) 閱讀一封充滿感情的告別信。(c) 聽到令人震驚且冒犯的言論。(d) 贏得期待已久的獎項或獎品。,(a) 爭執後用力摔門。
1059_WSI_ANG_XX.wav,angry,錄音中的講話者感覺如何？(a) 厭惡 (b) 開心 (c) 生氣 (d) 難過,(c) 生氣,考慮到錄音中講話者所表達的情緒，你認為哪一種社交互動是最合適的回應？(a) 先給對方一些空間冷靜下來，再進一步互動。 (b) 安撫他們並提供化解尷尬情境的方法。 (c) 同理地傾聽並讓他們表達感受。 (d) 誠心為他們的好消息或成就感到興奮。,(a) 先給對方一些空間冷靜下來，再進一步互動。
1006_TSI_ANG_XX.wav,angry,根據可用的音訊錄音，你能分析並辨識出說話者所表達的情緒嗎？(a) 厭惡 (b) 快樂 (c) 憤怒 (d) 悲傷,(c) 憤怒,考慮到說話者在音訊中表達的情緒，你認為最適合作為回應的社交互動是什麼？(a) 保持冷靜，並給予支持以減輕他們的焦慮。 (b) 給他們一些空間冷靜下來，再進一步溝通。 (c) 避免進一步討論，尊重他們對該主題的排斥。 (d) 建議一起共度一些時光來讓他們開心起來。,(b) 給他們一些空間冷靜下來，再進一步溝通。
1009_IWL_ANG_XX.wav,angry,說話者在音訊中表達的是哪一種情緒？(a) 厭惡 (b) 悲傷 (c) 憤怒 (d) 恐懼,(c) 憤怒,以下哪一種臉部表情最符合音訊片段中所傳達的情緒？(a) 眼睛微笑起皺紋並張口大笑 (b) 眼睛瞇起、鼻子皺起 (c) 雙眼睜大、眉毛上揚且嘴唇微張 (d) 鼻孔擴張並表情緊繃,(d) 鼻孔擴張並表情緊繃
1004_ITH_ANG_XX.wav,angry,根據提供的音頻片段作為輸入，你會如何解讀或分類說話者潛在的情緒？(a) 悲傷 (b) 厭惡 (c) 生氣 (d) 快樂,(c) 生氣,考慮到音頻中表達的情緒，下列哪一種臉部表情最符合該情緒？(a) 燦爛的微笑與閃爍的雙眼 (b) 咬緊牙關，臉側肌肉顯現緊張 (c) 雙眼向下看並且嘴唇顫抖 (d) 鼻子皺起，上唇抬高,(b) 咬緊牙關，臉側肌肉顯現緊張
1025_TAI_ANG_XX.wav,angry,你能夠從這段音訊中辨識說話者的情緒嗎？(a) 厭惡 (b) 生氣 (c) 恐懼 (d) 開心,(b) 生氣,考慮到音訊中表達的情緒，下列哪一種臉部表情與其最為吻合？(a) 眼睛眯起並開口大笑 (b) 目光閃避且嘴巴扭曲 (c) 銳利的凝視和緊閉的嘴唇 (d) 嘴角下垂且含淚的雙眼,(c) 銳利的凝視和緊閉的嘴唇
1072_IEO_ANG_HI.wav,angry,說話者在音檔中表達的是哪一種情緒？ (a) 害怕 (b) 開心 (c) 厭惡 (d) 生氣,(d) 生氣,下列哪一個情境最符合說話者在這段話中所傳達的情緒？ (a) 皺著眉頭拒絕一頓無味的餐點。 (b) 爭吵後甩門離開。 (c) 在街上面對一隻具有攻擊性的狗。 (d) 在對話中因有趣的笑話大笑。,(b) 爭吵後甩門離開。
1090_TIE_ANG_XX.wav,angry,根據提供的音訊片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 憤怒 (b) 悲傷 (c) 恐懼 (d) 快樂,(a) 憤怒,感受相同情緒的人最有可能會說哪一句話？(a) 我不知道該如何從這次失去中走出來。 (b) 這是我人生中最棒的一天，我覺得無比幸福！ (c) 我真的很害怕接下來會發生什麼。 (d) 別再找藉口了，這完全是你的錯！,(d) 別再找藉口了，這完全是你的錯！
1013_DFA_ANG_XX.wav,angry,考慮提供的音頻片段，您能判斷錄音中說話者所表達的情緒狀態嗎？(a) 高興 (b) 厭惡 (c) 生氣 (d) 傷心,(c) 生氣,根據此次談話中傳達的情緒，以下哪一種情境最接近說話者的情緒狀態？(a) 在空屋裡對突如其來的巨大噪音作出反應。 (b) 父母責罵孩子的不當行為。 (c) 在網路上看到令人不快的圖片。 (d) 在收到好消息後微笑。,(b) 父母責罵孩子的不當行為。
1066_IWW_ANG_XX.wav,angry,音檔中說話者的情緒基調為何？(a) 憤怒 (b) 厭惡 (c) 悲傷 (d) 快樂,(a) 憤怒,在以下選項中，哪一個情境最可能與說話者在音檔中表達的情緒相符？(a) 聽到令人震驚且冒犯的言論 (b) 家長因孩子不守規矩而責罵孩子 (c) 一個人在分手後哭泣 (d) 贏得期待已久的獎項或獎品,(b) 家長因孩子不守規矩而責罵孩子
1010_MTI_ANG_XX.wav,angry,說話者在音訊中表達的是哪種情緒？(a)快樂 (b)憤怒 (c)厭惡 (d)害怕,(b)憤怒,根據說話者在音訊中所表達的情緒，下列哪一種社交互動會是最適當的回應？(a)專心聆聽，不要打斷對方，讓他們抒發情緒。 (b)保持冷靜並提供支持以緩解他們的不安。 (c)微笑並積極參與對話。 (d)給予安慰的擁抱或說些安撫的話。,(a)專心聆聽，不要打斷對方，讓他們抒發情緒。
1022_IOM_ANG_XX.wav,angry,你能從這段音訊中判斷說話者的情緒嗎？(a)快樂 (b)厭惡 (c)生氣 (d)難過,(c)生氣,下列哪一句最能匹配其他人與音訊中表達的相同情緒？(a)很難想像事情會變得更好。 (b)我忍不住一直微笑，一切都感覺很對。 (c)這種情況真的快讓我火大了！ (d)我甚至看這個都覺得不舒服。,(c)這種情況真的快讓我火大了！
1054_ITH_ANG_XX.wav,angry,你能從這段音檔中辨識說話者的情緒嗎？(a) 快樂 (b) 悲傷 (c) 憤怒 (d) 恐懼,(c) 憤怒,下列哪一句最貼近和說話者有同樣情緒的人可能會怎麼表達自己？(a) 這真讓人作嘔，我簡直不敢相信。 (b) 別再找藉口了；這完全是你的錯！ (c) 我感覺好低落，好像沒有什麼能讓我振作起來。 (d) 我喘不過氣來，我現在真的很害怕。,(b) 別再找藉口了；這完全是你的錯！
1069_ITS_ANG_XX.wav,angry,根據聽到的語音檔，請問說話者透過聲音表現出來的情緒語氣是什麼？(a) 厭惡 (b) 恐懼 (c) 憤怒 (d) 悲傷,(c) 憤怒,在以下句子中，哪一句最符合與說話者擁有相同情緒狀態的人所表達的情感？(a) 這東西看起來真的很噁心又髒，我完全受不了！(b) 我真的很害怕接下來會發生什麼事。(c) 我受夠了這些無聊的事。(d) 我忍不住一直笑，覺得一切都很美好。,(c) 我受夠了這些無聊的事。
1057_TAI_ANG_XX.wav,angry,說話者在音檔中的情緒語調是什麼？（a）厭惡（b）悲傷（c）快樂（d）生氣,（d）生氣,以下哪一種臉部表情最符合音檔中傳達的情緒？（a）眉頭深鎖，嘴唇顫抖（b）銳利的目光與緊閉的雙唇（c）下巴內縮，嘴角一邊抽動，彷彿無法忍受（d）笑容燦爛，臉頰上揚,（b）銳利的目光與緊閉的雙唇
1073_ITH_ANG_XX.wav,angry,使用所提供的音訊片段作為輸入，你會如何詮釋或分類說話者隱含的情緒？ (a) 快樂 (b) 憤怒 (c) 悲傷 (d) 害怕,(b) 憤怒,在下列的臉部表情中，你認為哪一種最能對應到音訊片段中所傳達的情緒？ (a) 溫暖而真誠的微笑，頭微微傾斜 (b) 雙眼睜大，眉毛上揚，嘴唇微微張開 (c) 眉頭緊皺，嘴巴微張，像是要大喊的樣子 (d) 眼神向下，嘴唇顫抖,(c) 眉頭緊皺，嘴巴微張，像是要大喊的樣子
1086_WSI_ANG_XX.wav,angry,根據聲音檔中說話者的語調，傳達出來的情緒氛圍或感覺是什麼？(a) 悲傷 (b) 憤怒 (c) 恐懼 (d) 噁心,(b) 憤怒,根據聲音中所表達的情緒，以下哪一種表情最有可能出現？(a) 咬緊牙關並且臉側肌肉繃緊 (b) 眯起眼睛且鼻子收縮 (c) 額頭皺紋且滿臉愁容 (d) 燦爛微笑且雙眼閃亮,(a) 咬緊牙關並且臉側肌肉繃緊
1061_IWL_ANG_XX.wav,angry,使用所提供的音訊片段作為輸入，你會如何詮釋或分類說話者潛在的情緒？(a) 傷心 (b) 厭惡 (c) 害怕 (d) 生氣,(d) 生氣,從所提供的句子中，哪一句最符合與說話者經歷相同情緒的人的情感狀態？(a) 這情況真的讓我越來越火大！(b) 很難想像事情會變得更好。 (c) 這讓我覺得噁心。 (d) 我覺得我有危險，我不知道該怎麼辦。,(a) 這情況真的讓我越來越火大！
1002_DFA_ANG_XX.wav,angry,錄音中的說話者感覺如何？(a) 生氣 (b) 噁心 (c) 快樂 (d) 害怕,(a) 生氣,考慮到說話者在音檔中表達的情緒，你認為哪一種社交互動最合適用來作為回應？(a) 避免進一步討論並尊重他們對該話題的反感。 (b) 由衷地為他們的好消息或成就表達興奮。 (c) 保持冷靜並提供支持以減輕他們的不安。 (d) 冷靜地承認他們的挫折並提出解決辦法。,(d) 冷靜地承認他們的挫折並提出解決辦法。
1082_ITS_ANG_XX.wav,angry,根據所提供的音訊片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 恐懼 (b) 憤怒 (c) 快樂 (d) 厭惡,(b) 憤怒,以下哪一句話最符合他人在相同情緒下的表達？(a) 這是我人生中最棒的一天，我感覺自己無所不能！(b) 這裡太髒了！請盡快打掃乾淨。(c) 這太可怕了，我無法停止去想這件事。(d) 他們怎麼可以這樣不公平地對待我！,(d) 他們怎麼可以這樣不公平地對待我！
1010_IEO_ANG_MD.wav,angry,你能從這段音檔中辨別說話者的情緒嗎？ (a) 厭惡 (b) 悲傷 (c) 生氣 (d) 快樂,(c) 生氣,考慮到音檔中所表達的情緒，下列哪一種表情最符合這個情緒？ (a) 鼻孔張開，表情緊繃 (b) 頭部略微向後拉，驚恐地張大眼睛，好像在尋找逃脫的路 (c) 眼睛向下看，嘴唇顫抖 (d) 目光偏離，嘴巴露出痛苦的表情,(a) 鼻孔張開，表情緊繃
1012_ITH_ANG_XX.wav,angry,使用提供的音訊片段作為輸入，你會如何解讀或分類說話者的潛在情緒？(a) 生氣 (b) 厭惡 (c) 快樂 (d) 悲傷,(a) 生氣,從以下選項中，哪一個情境最有可能與說話者在語音中表達的情緒相符？(a) 皺著眉頭拒絕吃一頓沒有味道的餐點。(b) 接收到好消息後微笑的人。(c) 在空無一人的房子裡對突如其來的巨響做出反應。(d) 因為挫折感而丟東西。,(d) 因為挫折感而丟東西。
1049_MTI_ANG_XX.wav,angry,根據提供的音訊片段，你能判斷說話者在錄音中表達的情緒狀態嗎？(a) 厭惡 (b) 生氣 (c) 悲傷 (d) 害怕,(b) 生氣,從以下選項中，哪一個情境最有可能與說話者在這段講話中表達的情緒相符？(a) 一個人在分手後哭泣。 (b) 同事之間激烈爭吵。 (c) 聽到令人震驚且冒犯性的言論。 (d) 和親朋好友一起慶祝生日。,(b) 同事之間激烈爭吵。
1035_MTI_ANG_XX.wav,angry,你能從這段音訊中判斷說話者的情緒嗎？(a) 害怕 (b) 厭惡 (c) 生氣 (d) 開心,(c) 生氣,下列哪一句最能反映音訊中所辨識的相同情緒？(a) 這太可怕了，我無法停止思考這件事。 (b) 別再找藉口了，這完全是你的錯！ (c) 這是我人生中最棒的一天，我覺得無比快樂！ (d) 我不知道要怎麼從這個失落中走出來。,(b) 別再找藉口了，這完全是你的錯！
1002_ITS_ANG_XX.wav,angry,你能從這段錄音中辨認說話者的情緒嗎？ (a) 悲傷 (b) 厭惡 (c) 憤怒 (d) 快樂,(c) 憤怒,考慮這段談話所傳達的情緒，以下哪一種情境最符合說話者的情緒狀態？ (a) 在機場道別。 (b) 一個人在被插車後大聲咆哮。 (c) 聽到令人震驚且冒犯的言論。 (d) 在街上面對一隻具攻擊性的狗。,(b) 一個人在被插車後大聲咆哮。
1057_WSI_ANG_XX.wav,angry,根據現有的音頻錄音，你能分析並判斷說話者所表達的情緒嗎？(a) 厭惡 (b) 生氣 (c) 悲傷 (d) 快樂,(b) 生氣,考慮到說話者在音頻中所表達的情緒，你認為哪一種社交互動作為回應最為合適？(a) 祝賀或稱讚對方，分享他們的快樂。 (b) 冷靜地表示理解，並建議離開讓人不愉快的環境。 (c) 道歉並承認自己的錯誤（若適用）。 (d) 提供情感支持，避免忽略對方的悲傷。,(c) 道歉並承認自己的錯誤（若適用）。
1025_TIE_ANG_XX.wav,angry,說話者在音訊中表達的是哪一種情緒？ (a) 害怕 (b) 生氣 (c) 厭惡 (d) 悲傷,(b) 生氣,下列哪一種臉部表情最符合音訊中表達的情緒？ (a) 皺眉頭並抬高眉毛 (b) 眯起眼睛並皺起鼻子 (c) 嘆氣、皺眉並身體低垂 (d) 臉部肌肉放鬆並帶有愉快的微笑,(a) 皺眉頭並抬高眉毛
1060_IEO_ANG_HI.wav,angry,根據所提供的音頻片段，你能判斷錄音中說話者所表達的情緒狀態嗎？(a) 悲傷 (b) 生氣 (c) 害怕 (d) 快樂,(b) 生氣,感受到相同情緒的人最有可能會說哪一句話？(a) 我光是看到這個就覺得很不舒服。 (b) 我不知道該如何從這個失落中走出來。 (c) 我受夠這些無稽之談了。 (d) 我太興奮了，完全無法抑制我的快樂！,(c) 我受夠這些無稽之談了。
1046_MTI_ANG_XX.wav,angry,你能從這段音訊中辨認說話者的情緒嗎？(a) 傷心 (b) 噁心 (c) 生氣 (d) 害怕,(c) 生氣,下列哪一句最能反映音訊中辨識出的相同情緒？(a) 我就是一直想著那些糟糕的回憶。 (b) 我受夠這些胡鬧了。 (c) 我忍不住微笑，一切都感覺很美好。 (d) 我覺得自己很危險，不知道該怎麼辦。,(b) 我受夠這些胡鬧了。
1065_MTI_ANG_XX.wav,angry,根據所提供的音訊片段，你能判斷錄音中說話者所表現的情緒狀態嗎？(a) 憤怒 (b) 恐懼 (c) 厭惡 (d) 悲傷,(a) 憤怒,根據說話內容的情緒語調，下列哪一種情境最能反映說話者的情緒？(a) 一個人在被其他車切車道後大聲喊叫。 (b) 在空蕩的房子裡聽到突如其來的巨響後的反應。 (c) 贏得期待已久的獎項或獎品。 (d) 轉過頭去避開變質的食物。,(a) 一個人在被其他車切車道後大聲喊叫。
1013_ITS_ANG_XX.wav,angry,根據給定音訊檔案中說話者的聲音線索，說話者傳達的是什麼情緒語調或感受？(a) 憤怒 (b) 厭惡 (c) 恐懼 (d) 快樂,(a) 憤怒,在提供的選項中，哪一種情境最有可能與說話者在講話中表達的情緒相符？(a) 對房間裡的惡臭作出反應。 (b) 焦慮地準備一場重要考試。 (c) 閱讀一封感人的告別信。 (d) 爭執後重重地關門。,(d) 爭執後重重地關門。
1027_IEO_ANG_MD.wav,angry,說話者在音檔中表達的是哪一種情緒？(a) 恐懼 (b) 噁心 (c) 生氣 (d) 悲傷,(c) 生氣,哪一個情境最符合這段演講中所識別的說話者情緒？(a) 皺著眉頭拒絕一道沒有味道的餐點。 (b) 觀看一個感人但又悲傷的電影片段。 (c) 晚上獨自一人在小巷子裡行走。 (d) 一個人在被別人切車道後大聲咆哮。,(d) 一個人在被別人切車道後大聲咆哮。
1055_IWL_ANG_XX.wav,angry,在這段音頻中，說話者的情緒語調是什麼？ (a) 厭惡 (b) 害怕 (c) 生氣 (d) 開心,(c) 生氣,從以下選項中，哪個情境最有可能與說話者在演講中表達的情緒相符？ (a) 父母責罵小孩的不當行為。 (b) 一個人在黑暗中看恐怖電影。 (c) 觀看感人但悲傷的電影片段。 (d) 在網路上看到令人不舒服的圖片。,(a) 父母責罵小孩的不當行為。
